carat,cut,color,clarity,depth,table,price,x,y,z
0.45,Ideal,E,VVS2,61.9,56,1401,4.95,4.91,3.05
0.27,Ideal,E,VVS1,62.3,56,799,4.17,4.15,2.59
0.52,Premium,H,SI1,61.6,57,1138,5.2,5.15,3.19
1.01,Ideal,E,VVS1,62.2,57,10887,6.38,6.44,3.99
0.9,Very Good,H,SI1,62.8,57,3437,6.14,6.18,3.87
1.41,Ideal,H,VS1,60.7,56,9752,7.31,7.22,1.41
0.35,Premium,G,VVS1,61.8,57,1103,4.53,4.5,2.79
0.72,Ideal,E,VS1,62.6,57,3283,5.69,5.72,3.57
1.66,Ideal,H,IF,61.5,57,14724,7.59,7.62,4.68
0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75,3.52
0.32,Very Good,D,SI1,63.5,55,756,4.35,4.31,2.75
0.3,Premium,D,SI1,62.5,59,520,4.26,4.22,2.65
1.05,Premium,E,SI2,59.5,59,4742,6.65,6.59,3.94
0.33,Ideal,G,VVS1,61.6,55,838,4.46,4.47,2.75
1.55,Premium,J,SI1,62.5,58,7502,7.36,7.4,4.61
0.83,Premium,D,SI1,59.7,59,3556,6.14,6.12,3.66
0.72,Premium,F,SI1,59.3,60,2030,5.91,5.86,3.49
0.8,Very Good,F,SI2,61.5,56,2652,5.93,5.98,3.66
0.71,Very Good,E,VVS1,62.8,59,4228,5.66,5.71,3.57
0.31,Premium,H,VVS2,62.4,59,625,4.31,4.35,2.7
1.02,Ideal,F,SI2,60.7,56,4541,6.53,6.5,3.95
0.3,Very Good,H,SI1,62.2,60,421,4.24,4.28,2.65
0.35,Ideal,G,SI1,61.8,55,503,4.54,4.56,2.81
0.52,Very Good,G,VS1,61.1,58,1689,5.16,5.19,3.16
0.51,Premium,E,VVS1,61.4,60,2323,5.11,5.05,3.12
0.33,Premium,E,SI1,60.7,57,743,4.47,4.43,2.7
0.51,Premium,F,VS1,60.7,59,1627,5.11,5.13,3.11
1.54,Premium,H,VS2,61.9,61,10758,7.41,7.33,4.56
0.71,Ideal,F,VVS1,61,56,5019,5.77,5.8,3.53
0.27,Ideal,G,VVS2,60.8,57,566,4.18,4.2,2.54
0.32,Good,E,VS1,64.3,59,638,4.28,4.34,2.77
0.41,Very Good,E,SI2,62.9,58,683,4.72,4.75,2.98
0.75,Good,G,SI2,63.9,62,2115,5.66,5.61,3.6
0.5,Premium,F,VS2,61.4,59,1736,5.12,5.1,3.14
0.67,Good,I,VS2,60.7,61.4,1708,5.6,5.64,3.41
0.5,Good,E,SI1,63.5,61,1279,4.98,5.03,3.18
0.38,Very Good,I,VS1,60.1,60,606,4.66,4.72,2.82
1.03,Premium,H,VS2,63,59,5364,6.47,6.36,4.04
0.71,Ideal,F,SI2,62.1,56,2637,5.75,5.7,3.56
0.55,Ideal,H,IF,62.3,54,1905,5.25,5.28,3.28
0.5,Ideal,G,VVS1,62.2,54,1883,5.1,5.13,3.18
0.32,Ideal,D,VS2,61.5,56,972,4.44,4.41,2.72
3,Fair,H,I1,67.1,57,8044,8.93,8.84,5.97
1.65,Premium,D,SI1,60.4,60,11310,7.63,7.58,4.59
1.28,Premium,G,VS2,61.4,58,8458,7,6.92,4.27
1,Very Good,G,SI1,59.3,63,4741,6.44,6.48,3.83
0.31,Very Good,H,VS2,63.2,58,628,4.33,4.31,2.73
0.52,Ideal,E,SI2,61,57,1412,5.18,5.21,3.17
1.22,Premium,G,VS2,61.2,58,7729,6.81,6.91,4.2
0.26,Very Good,F,VS2,62.9,59,453,4.04,4.07,2.55
1.51,Very Good,G,VS1,63.1,55,12603,7.34,7.3,4.62
1.01,Very Good,G,VS2,60.7,61,5759,6.42,6.46,3.91
0.31,Ideal,G,VVS1,62.8,57,977,4.33,4.3,2.71
0.26,Ideal,F,VVS1,61.6,57,599,4.08,4.1,2.52
1.55,Good,J,VS1,62.3,56,8076,7.44,7.52,4.66
0.3,Ideal,F,VVS1,62.2,53,857,4.3,4.32,2.68
1.51,Fair,D,SI2,64.7,57,9555,7.17,7.24,4.66
0.3,Premium,D,VS1,61.6,57,979,4.33,4.3,2.66
1.01,Very Good,D,I1,63.4,61,2291,6.38,6.3,4.02
0.42,Ideal,G,VS1,61.4,56,984,4.85,4.82,2.97
0.36,Premium,E,SI2,61.5,58,648,4.61,4.56,2.82
0.32,Very Good,G,VVS1,61.4,55,772,4.41,4.45,2.72
0.31,Very Good,G,SI1,63,56,462,4.3,4.34,2.72
0.63,Premium,E,VS1,60.5,57,3675,5.58,5.53,3.36
0.41,Ideal,G,VVS2,60.4,56,1076,4.83,4.8,2.91
0.3,Ideal,H,VVS1,62,55,684,4.3,4.34,2.68
1.55,Premium,I,SI2,61.5,58,7256,7.39,7.46,4.57
0.3,Ideal,I,IF,62,57,615,4.28,4.3,2.66
1.56,Premium,E,SI2,62.4,60,9909,7.36,7.41,4.61
0.9,Very Good,D,SI1,61.7,60,4466,6.14,6.17,3.8
0.32,Ideal,I,VS2,60.6,56,485,4.42,4.46,2.69
1.32,Premium,J,VS2,60.4,58,5800,7.11,7.14,4.3
2.01,Fair,H,SI2,65.3,56,10772,7.95,7.86,5.16
0.31,Ideal,I,SI1,62.7,56,523,4.34,4.3,2.71
0.91,Premium,G,VS1,60.9,54,4510,6.38,6.27,3.85
0.37,Very Good,E,VS1,62,56,925,4.59,4.63,2.86
0.38,Ideal,D,SI1,61.3,57,884,4.67,4.7,2.87
0.54,Ideal,G,VS2,61.7,56,1605,5.21,5.24,3.23
0.43,Ideal,H,SI1,62.4,56,919,4.83,4.81,3.01
1,Good,H,SI1,61.5,64,4568,6.38,6.41,3.93
0.7,Premium,E,VS2,60.2,60,2822,5.73,5.7,3.44
0.44,Premium,E,VS2,60.4,58,1003,4.87,4.93,2.96
0.31,Ideal,F,VVS2,60.2,55,814,4.43,4.45,2.67
1.12,Ideal,H,VVS2,62.3,53,7091,6.64,6.7,4.16
0.42,Premium,D,SI1,59.8,59,810,4.86,4.91,2.92
2.56,Premium,J,SI1,61.4,58,17186,8.76,8.73,5.37
0.67,Good,G,SI1,62.9,59,1811,5.58,5.62,3.52
1.51,Premium,H,SI2,62.1,58,7340,7.34,7.2,4.52
0.54,Ideal,G,VS2,61.9,57,1637,5.23,5.18,3.22
0.51,Ideal,F,VVS2,61.7,56,2098,5.14,5.16,3.18
0.25,Ideal,E,VVS2,61.7,56,705,4.05,4.07,2.5
0.41,Premium,E,VS1,62.3,59,1079,4.74,4.76,2.96
1,Premium,G,VS2,61.6,58,5940,6.39,6.43,3.95
0.36,Ideal,G,SI2,61.8,56,565,4.58,4.61,2.84
0.33,Ideal,I,VVS2,62.4,57,743,4.44,4.41,2.76
0.27,Very Good,E,VVS2,62,59,620,4.14,4.18,2.58
0.32,Ideal,D,VS2,61.5,56,758,4.39,4.42,2.71
0.92,Very Good,F,SI2,59.9,60,3625,6.26,6.29,3.76
0.39,Fair,E,SI1,65.6,60,601,4.5,4.56,2.97
2.01,Premium,J,VS2,60.5,60,13400,8.13,8.09,4.91
0.53,Premium,J,VS2,62.7,56,1093,5.18,5.15,3.24
0.71,Good,J,VS1,63.3,55,1881,5.62,5.66,3.57
0.33,Ideal,F,VS2,62.6,55,854,4.42,4.4,2.76
0.51,Ideal,E,VS1,61.5,53,1708,5.17,5.24,3.2
1.01,Ideal,E,SI1,59.8,60,5751,6.56,6.48,3.9
1.12,Ideal,I,SI1,62,56,4829,6.69,6.64,4.13
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67
0.33,Premium,H,VS2,62.4,58,668,4.42,4.39,2.75
0.51,Ideal,F,VS2,62,56,1595,5.11,5.14,3.18
1.23,Very Good,H,SI1,62.3,58,6542,6.79,6.83,4.24
1.01,Very Good,E,VS2,64,56,6771,6.22,6.37,4.03
0.32,Ideal,F,VS2,62.5,56,828,4.4,4.37,2.74
0.54,Ideal,E,VVS2,61.9,54.5,2479,5.22,5.25,3.23
1,Ideal,F,SI1,62.7,57,5221,6.44,6.38,4.02
0.44,Premium,G,SI1,61,60,990,4.93,4.88,2.99
