no,id,name,city,country,iata,icao,latitude,longitude,altitude
1,2994,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,VAAH,23.07719994,72.63469696,189
2,2995,Akola Airport,Akola,India,AKD,VAAK,20.6989994,77.05860138,999
3,2996,Aurangabad Airport,Aurangabad,India,IXU,VAAU,19.86269951,75.39810181,1911
4,2997,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB,19.08869934,72.86789703,39
5,2998,Bilaspur Airport,Bilaspur,India,PAB,VABI,21.98839951,82.11100006,899
6,2999,Bhuj Airport,Bhuj,India,BHJ,VABJ,23.28779984,69.67019653,268
7,3000,Belgaum Airport,Belgaum,India,IXG,VABM,15.85929966,74.61830139,2487
8,3001,Vadodara Airport,Baroda,India,BDQ,VABO,22.33620071,73.2263031,129
9,3002,Raja Bhoj International Airport,Bhopal,India,BHO,VABP,23.28750038,77.33740234,1711
10,3003,Bhavnagar Airport,Bhaunagar,India,BHU,VABV,21.75219917,72.18520355,44
11,3004,Daman Airport,Daman,India,NMB,VADN,20.43440056,72.84320068,33
12,3005,Deesa Airport,Deesa,India,\N,VADS,24.26790047,72.20439911,485
13,3006,Guna Airport,Guna,India,\N,VAGN,24.65469933,77.34729767,1600
14,3007,Dabolim Airport,Goa,India,GOI,VAGO,15.38080025,73.83139801,150
15,3008,Devi Ahilyabai Holkar Airport,Indore,India,IDR,VAID,22.72179985,75.80110168,1850
16,3009,Jabalpur Airport,Jabalpur,India,JLR,VAJB,23.17779922,80.05200195,1624
17,3010,Jamnagar Airport,Jamnagar,India,JGA,VAJM,22.46549988,70.01260376,69
18,3011,Kandla Airport,Kandla,India,IXY,VAKE,23.11269951,70.10030365,96
19,3012,Khajuraho Airport,Khajuraho,India,HJR,VAKJ,24.81719971,79.91860199,728
20,3013,Kolhapur Airport,Kolhapur,India,KLH,VAKP,16.66469955,74.28939819,1996
21,3014,Keshod Airport,Keshod,India,IXK,VAKS,21.31710052,70.270401,167
22,3015,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,NAG,VANP,21.09219933,79.04720306,1033
23,3016,Gandhinagar Airport,Nasik Road,India,ISK,VANR,19.96369934,73.80760193,1959
24,3017,Pune Airport,Pune,India,PNQ,VAPO,18.58209991,73.91970062,1942
25,3018,Porbandar Airport,Porbandar,India,PBD,VAPR,21.64870071,69.65720367,23
26,3019,Rajkot Airport,Rajkot,India,RAJ,VARK,22.30920029,70.77950287,441
27,3020,Raipur Airport,Raipur,India,RPR,VARP,21.18040085,81.73880005,1041
28,3021,Solapur Airport,Sholapur,India,SSE,VASL,17.62800026,75.93479919,1584
29,3022,Surat Airport,Surat,India,STV,VASU,21.1140995,72.7417984,16
30,3023,Maharana Pratap Airport,Udaipur,India,UDR,VAUD,24.61770058,73.89610291,1684
31,3037,Along Airport,Along,India,\N,VEAN,28.1753006,94.80200195,900
32,3038,Agartala Airport,Agartala,India,IXA,VEAT,23.88699913,91.24040222,46
33,3039,Lengpui Airport,Aizwal,India,AJL,VELP,23.84059906,92.61969757,1398
34,3040,Bagdogra Airport,Baghdogra,India,IXB,VEBD,26.68120003,88.32859802,412
35,3041,Bokaro Airport,Bokaro,India,\N,VEBK,23.64349937,86.14890289,715
36,3042,Biju Patnaik Airport,Bhubaneswar,India,BBI,VEBS,20.24440002,85.81780243,138
37,3043,Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC,22.65469933,88.44670105,16
38,3044,Cooch Behar Airport,Cooch-behar,India,COH,VECO,26.33049965,89.46720123,138
39,3045,Dhanbad Airport,Dhanbad,India,DBD,VEDB,23.83399963,86.4253006,847
40,3048,Gaya Airport,Gaya,India,GAY,VEGY,24.74430084,84.95120239,380
41,3049,Hirakud Airport,Hirakud,India,\N,VEHK,21.5802002,84.00569916,658
42,3050,Imphal Airport,Imphal,India,IMF,VEIM,24.76000023,93.896698,2540
43,3051,Jharsuguda Airport,Jharsuguda,India,\N,VEJH,21.91349983,84.05039978,751
44,3052,Jamshedpur Airport,Jamshedpur,India,IXW,VEJS,22.8132,86.16880035,475
45,3053,Jorhat Airport,Jorhat,India,JRH,VEJT,26.73150063,94.17549896,311
46,3054,Kailashahar Airport,Kailashahar,India,IXH,VEKR,24.30820084,92.00720215,79
47,3055,Silchar Airport,Silchar,India,IXS,VEKU,24.91290092,92.97869873,352
48,3056,North Lakhimpur Airport,Lilabari,India,IXI,VELR,27.2954998,94.09760284,330
49,3057,Dibrugarh Airport,Mohanbari,India,DIB,VEMN,27.48390007,95.01689911,362
50,3058,Muzaffarpur Airport,Mazuffarpur,India,\N,VEMZ,26.11910057,85.31369781,174
51,3059,Nawapara Airport,Nawapara,India,\N,VENP,20.87000084,82.51959991,1058
52,3061,Lok Nayak Jayaprakash Airport,Patina,India,PAT,VEPT,25.59129906,85.08799744,170
53,3062,Purnea Airport,Purnea,India,\N,VEPU,25.75959969,87.41000366,129
54,3063,Birsa Munda Airport,Ranchi,India,IXR,VERC,23.31430054,85.32170105,2148
55,3064,Rourkela Airport,Rourkela,India,RRK,VERK,22.25670052,84.81459808,659
56,3065,Utkela Airport,Utkela,India,\N,VEUK,20.09740067,83.18379974,680
57,3066,Vishakhapatnam Airport,Vishakhapatnam,India,VTZ,VEVZ,17.72120094,83.22450256,15
58,3067,Zero Airport,Zero,India,\N,VEZO,27.5883007,93.82810211,5403
59,3079,Agra Airport,Agra,India,AGR,VIAG,27.15579987,77.96089935,551
60,3080,Allahabad Airport,Allahabad,India,IXD,VIAL,25.44009972,81.73390198,322
61,3081,Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,VIAR,31.70960045,74.79730225,756
62,3082,Nal Airport,Bikaner,India,\N,VIBK,28.07060051,73.2071991,750
63,3084,Lal Bahadur Shastri Airport,Varanasi,India,VNS,VIBN,25.45240021,82.85929871,266
64,3085,Kullu Manali Airport,Kulu,India,KUU,VIBR,31.87669945,77.15440369,3573
65,3087,Bhiwani Airport,Bhiwani,India,\N,VIBW,28.83699989,76.17910004,720
