Type,Year,Total,Windows8 ,Window7-,OSX_iOS,Linux,Android,RIM_BB,Symbian,Others
PC,2010,1231,0,1145,74,12,,,,
PC,2011,1351,0,1262,75,14,,,,
PC,2012,1432,0,1339,77,16,,,,
PC,2013,1471,300,1071,80,20,,,,
PC,2014,1505,540,857,83,25,,,,
PC,2015,1534,730,686,86,32,,,,
PC,2016,1560,879,549,90,42,,,,
PC,2017,1583,995,439,94,55,,,,
Tablet,2010,16,0,,14,,2,0,,0
Tablet,2011,71,0,,50,,18,1,,2
Tablet,2012,171,5,,121,,40,3,,2
Tablet,2013,327,20,,200,,101,4,,2
Tablet,2014,493,39,,283,,167,3,,1
Tablet,2015,683,63,,373,,245,2,,0
Tablet,2016,912,97,,474,,340,1,,0
Tablet,2017,1168,133,,591,,444,0,,0
Smartphone,2010,548,34,,70,,86,84,221,53
Smartphone,2011,838,33,,137,,278,107,235,48
Smartphone,2012,1236,40,,219,,635,105,187,50
Smartphone,2013,1799,55,,322,,1147,98,130,47
Smartphone,2014,2302,81,,416,,1581,90,87,47
Smartphone,2015,2793,123,,507,,1974,82,58,49
Smartphone,2016,3311,190,,601,,2353,74,39,54
Smartphone,2017,3884,294,,701,,2737,66,26,60
